Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
endoplasmic reticulum mannose trimming (GO:1904380),19-Apr,0.003397252,0.031105013,0,0,7.627061728,43.35823121,UBB;UBC;RPS27A;UBA52
protein import into mitochondrial matrix (GO:0030150),19-Apr,0.003397252,0.031105013,0,0,7.627061728,43.35823121,TIMM17A;TIMM23;ROMO1;TOMM20
positive regulation of cellular biosynthetic process (GO:0031328),14/180,0.003420573,0.031212724,0,0,2.429296132,13.79341549,RPL5;HSP90AA1;NPM1;DDX3X;HSP90AB1;RPS27L;PARK7;EEF2;RPS4X;DDB1;EIF6;EIF3E;RPL26;EIF3C
"regulation of mRNA splicing, via spliceosome (GO:0048024)",9/90,0.003471035,0.031566548,0,0,3.190713101,18.06997366,DDX5;MBNL2;HNRNPK;PUF60;NCL;TRA2B;HNRNPU;SRSF3;PRDX6
MyD88-independent toll-like receptor signaling pathway (GO:0002756),31-May,0.003629542,0.032787268,0,0,5.505307008,30.93238659,UBB;UBE2D3;UBC;RPS27A;UBA52
negative regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032435),31-May,0.003629542,0.032787268,0,0,5.505307008,30.93238659,HSP90AB1;UBXN1;RPL11;EIF3H;PARK7
response to reactive oxygen species (GO:0000302),7/59,0.003716029,0.033456646,0,0,3.859975962,21.59695036,PRDX5;GSTP1;TPM1;RPS3;ROMO1;SOD2;SOD1
toll-like receptor signaling pathway (GO:0002224),9/91,0.003739005,0.033551674,0,0,3.151638151,17.61430272,UBB;UBE2D3;UBC;HMGB1;RPS27A;UBA52;CTSB;HSP90B1;HSPD1
endothelial tube morphogenesis (GO:0061154),10-Mar,0.003909962,0.034854146,0,0,12.24471682,67.88749849,CSNK2B;CTNNB1;RHOA
fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539),10-Mar,0.003909962,0.034854146,0,0,12.24471682,67.88749849,ACADL;ETFA;ETFB
regulation of programmed necrotic cell death (GO:0062098),20-Apr,0.004133894,0.036729103,0,0,7.15,39.24302883,HSP90AA1;PDCD6IP;CDC37;STUB1
protein transmembrane import into intracellular organelle (GO:0044743),5/32,0.004183508,0.036926978,0,0,5.301131993,29.03220674,TIMM17A;TIMM23;ROMO1;TOMM20;HSPD1
cellular response to topologically incorrect protein (GO:0035967),5/32,0.004183508,0.036926978,0,0,5.301131993,29.03220674,HSPA9;HSPA8;HSPA5;STUB1;TMBIM6
positive regulation of gene expression (GO:0010628),28/482,0.004262243,0.03749941,0,0,1.787409407,9.755608467,RPL5;APP;GSK3B;DDX5;DDX3X;RPL11;RPS27L;PARK7;PHB;ACTB;ACTG1;RPS4X;RPS3;POLR2F;POLR2L;NPM1;RPS7;RPL23;SMARCA5;MIF;EEF2;SOD1;EIF6;EIF3E;RPL26;EIF3C;GAPDH;ATF4
regulation of cellular protein localization (GO:1903827),6/46,0.004415863,0.038474989,0,0,4.297399703,23.30287313,VCP;HSP90AA1;HSP90AB1;SUMO3;CTNNB1;RAB11B
regulation of fibroblast proliferation (GO:0048145),6/46,0.004415863,0.038474989,0,0,4.297399703,23.30287313,CDK4;GSTP1;FTH1;NDUFS4;CTNNB1;MIF
postreplication repair (GO:0006301),6/46,0.004415863,0.038474989,0,0,4.297399703,23.30287313,VCP;UBB;UBC;UBE2N;RPS27A;UBA52
pattern recognition receptor signaling pathway (GO:0002221),7/61,0.004484014,0.038943161,0,0,3.716628086,20.09668721,UBB;UBC;HMGB1;RPS27A;UBA52;CTSB;HSP90B1
positive regulation of transferase activity (GO:0051347),12/148,0.004659522,0.040337724,0,0,2.537922215,13.62570422,CCT2;HSP90AA1;HSP90AB1;PTGES3;TCP1;HNRNPA2B1;UBE2N;CTNNB1;DBI;RPS2;UBE2L3;CCT4
negative regulation of apoptotic signaling pathway (GO:2001234),8/78,0.004911033,0.042319956,0,0,3.278858846,17.43130196,NDUFA13;PRELID1;DDX3X;GSTP1;TMBIM6;GHITM;PARK7;SLC25A5
regulation of DNA binding (GO:0051101),6/47,0.004919832,0.042319956,0,0,4.192367629,22.28025768,SUMO1;SUMO3;CSNK2B;EDF1;HMGB1;NME1
error-prone translesion synthesis (GO:0042276),21-Apr,0.004971253,0.042491629,0,0,6.729063181,35.69151179,UBB;UBC;RPS27A;UBA52
positive regulation of phosphatase activity (GO:0010922),21-Apr,0.004971253,0.042491629,0,0,6.729063181,35.69151179,HSP90AB1;CALM3;CALM1;CALM2
actin filament depolymerization (GO:0030042),11-Mar,0.005241544,0.04410408,0,0,10.71357249,56.25846056,CFL1;DSTN;TWF1
negative regulation of calcium ion transmembrane transport (GO:1903170),11-Mar,0.005241544,0.04410408,0,0,10.71357249,56.25846056,FKBP1A;YWHAE;VDAC1
positive regulation of cellular respiration (GO:1901857),11-Mar,0.005241544,0.04410408,0,0,10.71357249,56.25846056,PRELID1;VCP;PARK7
positive regulation of viral release from host cell (GO:1902188),11-Mar,0.005241544,0.04410408,0,0,10.71357249,56.25846056,DDB1;VAPA;CHMP2A
proteasome assembly (GO:0043248),11-Mar,0.005241544,0.04410408,0,0,10.71357249,56.25846056,PSMD11;PSMD4;POMP
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060),8/79,0.005306119,0.044323406,0,0,3.232509813,16.93477823,GSK3B;VCP;SUMO1;CSNK1A1;SUMO2;STUB1;GABARAP;RBX1
translational termination (GO:0006415),9/96,0.005330766,0.044323406,0,0,2.969737519,15.54437908,MRPL52;MRPL30;MRPL42;MRPL20;MRPS21;ETF1;MRPL23;GSPT1;MRPL33
amyloid fibril formation (GO:1990000),7/63,0.00536607,0.044323406,0,0,3.583519345,18.73341919,FKBP1A;APP;UBB;UBC;RPS27A;UBA52;ITM2B
COPII vesicle coating (GO:0048208),7/63,0.00536607,0.044323406,0,0,3.583519345,18.73341919,NAPA;SEC13;TMED10;TFG;PDCD6;TMED2;SEC31A
vesicle coating (GO:0006901),7/63,0.00536607,0.044323406,0,0,3.583519345,18.73341919,NAPA;SEC13;TMED10;TFG;PDCD6;TMED2;SEC31A
"vesicle targeting, rough ER to cis-Golgi (GO:0048207)",7/63,0.00536607,0.044323406,0,0,3.583519345,18.73341919,NAPA;SEC13;TMED10;TFG;PDCD6;TMED2;SEC31A
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030),5/34,0.005467857,0.044889609,0,0,4.935025069,25.70589677,YWHAE;GSK3B;YWHAQ;YWHAB;YWHAZ
positive regulation of protein dephosphorylation (GO:0035307),5/34,0.005467857,0.044889609,0,0,4.935025069,25.70589677,HSP90AB1;CALM3;CALM1;CALM2;PPIA
glutathione derivative biosynthetic process (GO:1901687),22-Apr,0.005915167,0.04797858,0,0,6.354897119,32.60211866,GSTO1;GSTP1;ESD;AKR1A1
glutathione derivative metabolic process (GO:1901685),22-Apr,0.005915167,0.04797858,0,0,6.354897119,32.60211866,GSTO1;GSTP1;ESD;AKR1A1
negative regulation of protein dephosphorylation (GO:0035308),22-Apr,0.005915167,0.04797858,0,0,6.354897119,32.60211866,YWHAE;FKBP1A;GSK3B;YWHAB
positive regulation of calcium ion transmembrane transporter activity (GO:1901021),22-Apr,0.005915167,0.04797858,0,0,6.354897119,32.60211866,GSTO1;CALM3;CALM1;CALM2
inner mitochondrial membrane organization (GO:0007007),6/49,0.006052565,0.048946044,0,0,3.996959121,20.41356174,HSPA9;TIMM8B;NDUFA13;TIMM13;ROMO1;GHITM
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),9/98,0.006097182,0.04901336,0,0,2.902699983,14.80356257,ARF1;SEC13;DCTN2;CANX;DCTN3;AP2S1;DYNLL1;AP2M1;SEC31A
RNA splicing (GO:0008380),9/98,0.006097182,0.04901336,0,0,2.902699983,14.80356257,PPP2CA;SF3B2;SNRPD2;PPP2R1A;TRA2B;SNRPF;HNRNPC;TXNL4A;SNRPB
ephrin receptor signaling pathway (GO:0048013),8/82,0.00663782,0.053201046,0,0,3.100978773,15.55132059,CDC42;ARPC1A;AP2S1;RAC1;ACTB;AP2M1;RHOA;ACTG1
regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844),12-Mar,0.006813995,0.053972438,0,0,9.522682446,47.50653576,CALM3;CALM1;CALM2
early endosome to Golgi transport (GO:0034498),12-Mar,0.006813995,0.053972438,0,0,9.522682446,47.50653576,TMED9;SURF4;RAB6A
Golgi localization (GO:0051645),12-Mar,0.006813995,0.053972438,0,0,9.522682446,47.50653576,CDC42;YWHAZ;ARCN1
morphogenesis of a polarized epithelium (GO:0001738),12-Mar,0.006813995,0.053972438,0,0,9.522682446,47.50653576,RAB10;ACTB;ACTG1
protein modification by small protein conjugation (GO:0032446),24/409,0.006905479,0.054106879,0,0,1.80217706,8.96662416,VCP;UBE2D3;NEDD8;COMMD1;RBX1;UBE2L3;DDB1;PCNP;UFM1;SUMO1;UBB;UBE2S;SUMO3;NEDD4;SUMO2;UBC;UFC1;UBE2N;STUB1;UBA1;RPS27A;UBA52;UBE2K;UBE2M
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),9/100,0.00694574,0.054106879,0,0,2.838609152,14.1068281,ARF1;SEC13;DCTN2;CANX;DCTN3;AP2S1;DYNLL1;AP2M1;SEC31A
regulation of necroptotic process (GO:0060544),23-Apr,0.006971194,0.054106879,0,0,6.020116959,29.89571309,HSP90AA1;PDCD6IP;CDC37;STUB1
regulation of protein export from nucleus (GO:0046825),23-Apr,0.006971194,0.054106879,0,0,6.020116959,29.89571309,YWHAE;GSK3B;PARK7;ANP32B
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),23-Apr,0.006971194,0.054106879,0,0,6.020116959,29.89571309,GSTO1;CALM3;CALM1;CALM2
nucleotide metabolic process (GO:0009117),23-Apr,0.006971194,0.054106879,0,0,6.020116959,29.89571309,NME2;CMPK1;PARK7;REXO2
positive regulation of protein autophosphorylation (GO:0031954),23-Apr,0.006971194,0.054106879,0,0,6.020116959,29.89571309,DDX3X;CALM3;CALM1;CALM2
cellular response to starvation (GO:0009267),12/158,0.007766622,0.060107868,0,0,2.362859666,11.47858313,HSPA8;DAP;MAP1LC3B;SEC13;HSPA5;RHEB;LAMP2;LAMTOR2;ATP6V0C;GABARAP;ATF4;ATP6V1F
tRNA transport (GO:0051031),5/37,0.007881404,0.060652502,0,0,4.471670994,21.65741725,SEC13;SSB;YBX1;TOMM20;RAN
regulation of protein catabolic process (GO:0042176),9/102,0.007881906,0.060652502,0,0,2.777274916,13.45085768,EEF1A1;SNX3;DDB1;GSK3B;NDUFA13;VCP;NEDD4;PHB;OAZ1
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512),7/68,0.008135796,0.062142763,0,0,3.288934426,15.82464791,FKBP1A;UBB;UBC;STRAP;STUB1;RPS27A;UBA52
"nucleotide-excision repair, DNA gap filling (GO:0006297)",24-Apr,0.00814459,0.062142763,0,0,5.718814815,27.50979448,UBB;UBC;RPS27A;UBA52
"protein alpha-1,2-demannosylation (GO:0036508)",24-Apr,0.00814459,0.062142763,0,0,5.718814815,27.50979448,UBB;UBC;RPS27A;UBA52
regulation of cell cycle G2/M phase transition (GO:1902749),8/85,0.008208139,0.06245122,0,0,2.979696905,14.31037899,YWHAE;HSP90AA1;NPM1;DCTN2;PPP2R1A;DCTN3;DYNLL1;TUBB4B
antigen processing and presentation of exogenous peptide antigen (GO:0002478),9/103,0.008384567,0.063614373,0,0,2.747586535,13.13720714,ARF1;SEC13;DCTN2;CANX;DCTN3;AP2S1;DYNLL1;AP2M1;SEC31A
protein neddylation (GO:0045116),13-Mar,0.008637122,0.064622899,0,0,8.569970414,40.72180724,NEDD8;RBX1;UBE2M
regulation of actomyosin structure organization (GO:0110020),13-Mar,0.008637122,0.064622899,0,0,8.569970414,40.72180724,CDC42;RAC1;ACTG1
regulation of cell communication by electrical coupling (GO:0010649),13-Mar,0.008637122,0.064622899,0,0,8.569970414,40.72180724,CALM3;CALM1;CALM2
detection of calcium ion (GO:0005513),13-Mar,0.008637122,0.064622899,0,0,8.569970414,40.72180724,CALM3;CALM1;CALM2
regulation of protein acetylation (GO:1901983),13-Mar,0.008637122,0.064622899,0,0,8.569970414,40.72180724,GSK3B;DDX3X;PARK7
negative regulation of proteasomal protein catabolic process (GO:1901799),5/38,0.008827666,0.065866092,0,0,4.335941012,20.50841414,HSP90AB1;UBXN1;RPL11;EIF3H;PARK7
IRE1-mediated unfolded protein response (GO:0036498),6/53,0.008869357,0.065994854,0,0,3.656033638,17.2753184,HSPA5;LMNA;SSR1;HDGF;PDIA6;SEC31A
regulation of proteasomal protein catabolic process (GO:0061136),6/54,0.009699122,0.071970683,0,0,3.579680535,16.59439633,PSMC5;HSP90AB1;PSMC6;UBB;PSMC3;COMMD1
Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096),7/71,0.010234953,0.073506937,0,0,3.134277344,14.36109145,CDC42;HSP90AA1;HSP90AB1;ARPC1A;RAC1;ACTB;ACTG1
response to metal ion (GO:0010038),7/71,0.010234953,0.073506937,0,0,3.134277344,14.36109145,PPP2CA;PDCD6;NEDD4;CALM3;CALM1;CALM2;SEC31A
interstrand cross-link repair (GO:0036297),6/55,0.010582704,0.073506937,0,0,3.506443885,15.94918044,VCP;UBB;UBC;NUCKS1;RPS27A;UBA52
regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),8/89,0.010715544,0.073506937,0,0,2.831962613,12.84595209,YWHAE;BCAP31;NDUFA13;DDX3X;DNAJB6;PDCD6;CYCS;HMGB1
cellular copper ion homeostasis (GO:0006878),14-Mar,0.010718855,0.073506937,0,0,7.790478752,35.33567153,APP;ARF1;ATOX1
regulation of lamellipodium organization (GO:1902743),14-Mar,0.010718855,0.073506937,0,0,7.790478752,35.33567153,CDC42;TWF1;RAC1
COPII-coated vesicle cargo loading (GO:0090110),14-Mar,0.010718855,0.073506937,0,0,7.790478752,35.33567153,SEC13;SAR1A;SEC31A
regulation of response to interferon-gamma (GO:0060330),14-Mar,0.010718855,0.073506937,0,0,7.790478752,35.33567153,HSP90AB1;SUMO1;CDC37
polarized epithelial cell differentiation (GO:0030859),14-Mar,0.010718855,0.073506937,0,0,7.790478752,35.33567153,CDC42;RAB10;RHOA
protein polyufmylation (GO:1990564),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,UFM1;UFC1
activation of protein kinase C activity (GO:1990051),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,PHB;PHB2
beta-catenin destruction complex assembly (GO:1904885),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,GSK3B;CSNK1A1
regulation of cytochrome-c oxidase activity (GO:1904959),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,NDUFA4;PHB2
cellular response to indole-3-methanol (GO:0071681),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,CTNNA1;CTNNB1
CRD-mediated mRNA stabilization (GO:0070934),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,HNRNPU;YBX1
regulation of mitophagy (GO:1901524),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,VDAC1;SLC25A5
regulation of mRNA binding (GO:1902415),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,EIF3E;EIF3C
regulation of protein monoubiquitination (GO:1902525),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,UBB;PDCD6
response to indole-3-methanol (GO:0071680),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,CTNNA1;CTNNB1
ribosome localization (GO:0033750),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,EIF6;RAN
isocitrate metabolic process (GO:0006102),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,IDH3B;IDH3A
"SRP-dependent cotranslational protein targeting to membrane, translocation (GO:0006616)",05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,SEC61A1;SEC61B
stress granule disassembly (GO:0035617),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,VCP;KIF5B
mature ribosome assembly (GO:0042256),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,DDX3X;EIF6
negative regulation of calcium ion transport into cytosol (GO:0010523),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,FKBP1A;TMBIM6
negative regulation of protein acetylation (GO:1901984),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,GSK3B;PARK7
positive regulation of low-density lipoprotein receptor activity (GO:1905599),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,HNRNPK;CNPY2
positive regulation of protein monoubiquitination (GO:1902527),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,UBB;PDCD6
positive regulation of toll-like receptor 9 signaling pathway (GO:0034165),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,HMGB1;RTN4
positive regulation of translation in response to stress (GO:0032056),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,DDX3X;EIF4G1
protein K69-linked ufmylation (GO:1990592),05-Feb,0.010749811,0.073506937,0,0,19.02314131,86.22937121,UFM1;UFC1
clathrin-dependent endocytosis (GO:0072583),26-Apr,0.010862946,0.073720647,0,0,5.198383838,23.50915922,CANX;CLTB;AP2S1;AP2M1
regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900739),26-Apr,0.010862946,0.073720647,0,0,5.198383838,23.50915922,YWHAE;YWHAQ;YWHAB;YWHAZ
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),26-Apr,0.010862946,0.073720647,0,0,5.198383838,23.50915922,YWHAE;YWHAQ;YWHAB;YWHAZ
Fc-gamma receptor signaling pathway (GO:0038094),7/72,0.01101503,0.074565407,0,0,3.085897436,13.91275171,CDC42;HSP90AA1;HSP90AB1;ARPC1A;RAC1;ACTB;ACTG1
positive regulation of binding (GO:0051099),8/90,0.011422326,0.077129258,0,0,2.797281088,12.50995964,FKBP1A;APP;GSK3B;RPL11;EDF1;HMGB1;RAN;NME1
ubiquitin-dependent ERAD pathway (GO:0030433),7/73,0.011837327,0.079732221,0,0,3.038983586,13.48244283,VCP;PSMC6;HSPA5;STUB1;SEC61B;UBXN4;HSP90B1
regulation of mitochondrial membrane potential (GO:0051881),5/41,0.012130947,0.081304436,0,0,3.973994395,17.53324537,VCP;PRELID1;UBB;PARK7;SOD1
JNK cascade (GO:0007254),5/41,0.012130947,0.081304436,0,0,3.973994395,17.53324537,UBB;UBC;UBE2N;RPS27A;UBA52
protein peptidyl-prolyl isomerization (GO:0000413),27-Apr,0.012416806,0.082605401,0,0,4.972109501,21.82111889,FKBP1A;FKBP4;PPIB;PPIA
stress-activated protein kinase signaling cascade (GO:0031098),27-Apr,0.012416806,0.082605401,0,0,4.972109501,21.82111889,UBB;UBC;RPS27A;UBA52
nucleobase-containing small molecule interconversion (GO:0015949),27-Apr,0.012416806,0.082605401,0,0,4.972109501,21.82111889,TXNRD1;NME2;CMPK1;NME1
dicarboxylic acid metabolic process (GO:0043648),6/57,0.012518267,0.083075773,0,0,3.368586662,14.75631731,MDH1;MDH2;GOT2;OGDH;SDHA;GCLM
positive regulation of macromolecule biosynthetic process (GO:0010557),10/129,0.012598725,0.083404792,0,0,2.411978244,10.55037801,RPS4X;RPL5;NPM1;DDX3X;EIF6;RPS27L;EIF3E;RPL26;EEF2;EIF3C
cellular response to amino acid starvation (GO:0034198),7/74,0.012703049,0.083685208,0,0,2.993470149,13.06923096,SEC13;DAP;RHEB;LAMTOR2;ATP6V0C;ATF4;ATP6V1F
Fc receptor mediated stimulatory signaling pathway (GO:0002431),7/74,0.012703049,0.083685208,0,0,2.993470149,13.06923096,CDC42;HSP90AA1;HSP90AB1;ARPC1A;RAC1;ACTB;ACTG1
cellular response to arsenic-containing substance (GO:0071243),15-Mar,0.013065397,0.085447066,0,0,7.140902367,30.97572039,VCP;DDX3X;GSTO1
endoplasmic reticulum to cytosol transport (GO:1903513),15-Mar,0.013065397,0.085447066,0,0,7.140902367,30.97572039,VCP;SEC61B;HSP90B1
positive regulation of protein export from nucleus (GO:0046827),15-Mar,0.013065397,0.085447066,0,0,7.140902367,30.97572039,YWHAE;GSK3B;ANP32B
regulation of ubiquitin-dependent protein catabolic process (GO:2000058),5/42,0.013395628,0.087184556,0,0,3.866388644,16.67506497,RPL5;RPS7;RPL23;RPL11;COMMD1
translesion synthesis (GO:0019985),5/42,0.013395628,0.087184556,0,0,3.866388644,16.67506497,VCP;UBB;UBC;RPS27A;UBA52
positive regulation of protein binding (GO:0032092),6/58,0.013573638,0.08796592,0,0,3.303634701,14.20439285,PPP2CA;FKBP1A;APP;GSK3B;RPL11;RAN
response to amino acid starvation (GO:1990928),7/75,0.013613386,0.08796592,0,0,2.949295343,12.6722424,SEC13;DAP;RHEB;LAMTOR2;ATP6V0C;ATF4;ATP6V1F
nucleic acid phosphodiester bond hydrolysis (GO:0090305),7/75,0.013613386,0.08796592,0,0,2.949295343,12.6722424,DDB1;UBB;DDX1;UBC;RPS27A;UBA52;RBX1
negative regulation of oxidative stress-induced cell death (GO:1903202),28-Apr,0.014105821,0.090713863,0,0,4.764691358,20.30314906,PARK7;SOD2;PPIA;ATF4
protein localization to Golgi apparatus (GO:0034067),28-Apr,0.014105821,0.090713863,0,0,4.764691358,20.30314906,GOLPH3;TMED10;ARL1;RAB6A
negative regulation of gene expression (GO:0010629),19/322,0.014340065,0.092001225,0,0,1.806890689,7.669705123,APP;RNH1;NDFIP1;DDX3X;RPL13A;CNPY2;MIF;PARK7;YBX1;TOB1;RPS26;NCL;CAPRIN1;RPS3;TMBIM6;CALR;RBBP7;GAPDH;RPS13
regulation of RNA splicing (GO:0043484),7/76,0.01456951,0.09325177,0,0,2.906400966,12.29065897,RPS26;MBNL2;HNRNPK;TRA2B;SRSF3;TMBIM6;RPS13
fatty acid oxidation (GO:0019395),6/59,0.014689596,0.093798104,0,0,3.241133758,13.67958039,HADHB;HADHA;ACADL;SCP2;HADH;ACAT1
DNA synthesis involved in DNA repair (GO:0000731),5/43,0.014746228,0.093937648,0,0,3.764446353,15.87379668,VCP;UBB;UBC;RPS27A;UBA52
RNA metabolic process (GO:0016070),10/133,0.01534839,0.096929305,0,0,2.333053824,9.7445702,HNRNPA3;HNRNPK;DDX3X;PCBP1;HNRNPA2B1;HNRNPU;POLR2F;HNRNPC;SND1;POLR2L
mRNA metabolic process (GO:0016071),8/95,0.015480716,0.096929305,0,0,2.635832605,10.98657248,DDX5;SF3B2;RNH1;SSB;HNRNPA2B1;SNRPF;SRSF5;SNRPB
positive regulation of type I interferon production (GO:0032481),7/77,0.015572576,0.096929305,0,0,2.864732143,11.9237138,HSP90AA1;DDX3X;POLR2F;CTNNB1;GAPDH;HSPD1;POLR2L
neuron projection organization (GO:0106027),16-Mar,0.015681364,0.096929305,0,0,6.59126081,27.3885492,APP;GSK3B;ARF1
protein localization to endoplasmic reticulum (GO:0070972),16-Mar,0.015681364,0.096929305,0,0,6.59126081,27.3885492,BCAP31;HSPA5;VAPA
protein ufmylation (GO:0071569),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,UFM1;UFC1
axo-dendritic transport (GO:0008088),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,APP;HSPA8
cellular heat acclimation (GO:0070370),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,HSBP1;RBBP7
free ubiquitin chain polymerization (GO:0010994),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,UBE2S;UBE2K
heat acclimation (GO:0010286),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,HSBP1;RBBP7
morphogenesis of an endothelium (GO:0003159),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,CSNK2B;CTNNB1
negative regulation of cellular response to hypoxia (GO:1900038),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,TMBIM6;ENO1
positive regulation of RNA binding (GO:1905216),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,EIF3E;EIF3C
positive regulation of tau-protein kinase activity (GO:1902949),06-Feb,0.015763947,0.096929305,0,0,14.26661743,59.2068868,HSP90AA1;HSP90AB1
regulation of calcium ion transmembrane transporter activity (GO:1901019),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,YWHAE;FKBP1A;CALM1;CALM2
regulation of ubiquitin-protein transferase activity (GO:0051438),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,UBE2N;PARK7;RPS2;UBE2L3
lamellipodium organization (GO:0097581),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,ITGB1;GOLPH3;CTTN;RAC1
telomere maintenance via telomerase (GO:0007004),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,HSP90AA1;HSP90AB1;PTGES3;NOP10
positive regulation of dephosphorylation (GO:0035306),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,CALM3;CALM1;CALM2;PPIA
positive regulation of viral genome replication (GO:0045070),29-Apr,0.015933584,0.096929305,0,0,4.573866667,18.93272602,DDB1;DDX3X;PABPC1;PPIA
cellular transition metal ion homeostasis (GO:0046916),8/96,0.01640344,0.099563351,0,0,2.605744479,10.71029829,APP;ARF1;NDFIP1;GLRX3;FTH1;NEDD8;ATOX1;SOD1
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",30-Apr,0.017903339,0.108423587,0,0,4.397720798,17.69101059,RPS14;RPS16;RPS8;RPS21
negative regulation of neuron death (GO:1901215),8/98,0.018366786,0.110981409,0,0,2.547574102,10.18319209,GSK3B;SET;PARK7;NENF;SOD2;ATF4;EIF4G1;SOD1
positive regulation of cysteine-type endopeptidase activity (GO:2001056),6/62,0.018416679,0.111034487,0,0,3.067023986,12.25122288,BCAP31;NDUFA13;DDX3X;PDCD6;CYCS;HMGB1
"retrograde protein transport, ER to cytosol (GO:0030970)",17-Mar,0.01856991,0.111708968,0,0,6.120139476,24.39617804,VCP;SEC61B;HSP90B1
regulation of NIK/NF-kappaB signaling (GO:1901222),7/80,0.018874632,0.11303854,0,0,2.746575342,10.90372962,APP;DDX3X;RPS3;ACTN4;PHB;PHB2;RHOA
regulation of protein localization to plasma membrane (GO:1903076),7/80,0.018874632,0.11303854,0,0,2.746575342,10.90372962,ITGB1;TMEM59;KIF5B;TMBIM1;SQSTM1;ACTB;AP2M1
regulation of protein binding (GO:0043393),9/118,0.019190392,0.114675328,0,0,2.367629741,9.360058506,PPP2CA;FKBP1A;APP;GSK3B;RPL11;TMBIM6;PARK7;ACTB;RAN
spliceosomal complex assembly (GO:0000245),5/46,0.019336088,0.115036945,0,0,3.48845625,13.7646882,PUF60;SNRPD2;DDX1;SRSF5;TXNL4A
positive regulation of nucleocytoplasmic transport (GO:0046824),5/46,0.019336088,0.115036945,0,0,3.48845625,13.7646882,YWHAE;GSK3B;NEDD4;ANP32B;RAN
RNA processing (GO:0006396),12/179,0.019390913,0.115109575,0,0,2.063471258,8.136165472,TSEN34;PPP2CA;SF3B2;HNRNPK;SNRPD2;PPP2R1A;HNRNPA2B1;HNRNPU;SNRPF;SRSF5;HNRNPC;SNRPB
positive regulation of viral process (GO:0048524),6/63,0.01979043,0.117223575,0,0,3.013060139,11.81889958,DDB1;DDX3X;POLR2F;PABPC1;PPIA;POLR2L
regulation of developmental growth (GO:0048638),4/31,0.02001798,0.117540358,0,0,4.234622771,16.56213644,APP;GSK3B;CTTN;SOD1
