Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
positive regulation of protein localization to early endosome (GO:1902966),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,ROCK2;RDX;MSN;EZR
positive regulation of protein localization to endosome (GO:1905668),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,ROCK2;RDX;MSN;EZR
protein localization to microtubule cytoskeleton (GO:0072698),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,CRIPT;KIF20B;MAPRE1;MID1
regulation of protein localization to early endosome (GO:1902965),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,ROCK2;RDX;MSN;EZR
RNA secondary structure unwinding (GO:0010501),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,DDX3X;DDX39B;DHX9;AGO2
rRNA base methylation (GO:0070475),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,TRMT112;EMG1;BUD23;METTL16
tubulin complex assembly (GO:0007021),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,VBP1;TCP1;ARL2;TBCA
U4 snRNA 3'-end processing (GO:0034475),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,EXOSC7;EXOSC8;EXOSC3;EXOSC2
ventricular trabecula myocardium morphogenesis (GO:0003222),08-Apr,0.076499815,0.77787902,0,0,3.546736411,9.11676876,TGFB2;NRG1;RBPJ;BMPR1A
mitotic cell cycle phase transition (GO:0044772),55/209,0.078656668,0.789463456,0,0,1.269229505,3.227222743,CEP57;TRIM71;YWHAE;CCNI;PPP1CB;PCM1;TUBA1A;MYC;CDC27;ENSA;SKP2;PHLDA1;YWHAG;HSP90AA1;PPP1R12A;HAUS3;DYNLL1;CDC25C;MASTL;CKAP5;HAUS1;CCNA2;CDC34;MELK;DBF4;LATS2;CCNE2;CCNE1;AKAP9;MAPRE1;SFI1;AJUBA;OPTN;DYNC1I2;KHDRBS1;CUL3;DCTN3;CUL1;ARPP19;GSPT1;CCNB2;EIF4E;PLK3;TUBB4B;CDK7;NASP;RPS6KB1;CDK4;CCNG2;CDK1;CHMP2A;MNAT1;CDK14;TAF2;CUL4B
endosome transport via multivesicular body sorting pathway (GO:0032509),25-Sep,0.078811531,0.789463456,0,0,1.995773566,5.070653843,LAPTM4B;VCP;SORT1;TMEM50A;VPS4B;VTA1;CHMP2A;CHMP3;CHMP5
"positive regulation of DNA-templated transcription, elongation (GO:0032786)",25-Sep,0.078811531,0.789463456,0,0,1.995773566,5.070653843,TCERG1;DDX39B;LEO1;THOC1;CDK12;CDK13;EAPP;CDC73;HMGN1
regulation of cardiac muscle cell action potential (GO:0098901),25-Sep,0.078811531,0.789463456,0,0,1.995773566,5.070653843,CAMK2D;JUP;AKAP9;PKP2;ATP2A2;ANK2;CALM3;CALM1;DSC2
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050),25-Sep,0.078811531,0.789463456,0,0,1.995773566,5.070653843,RHBDF1;USP14;PSMD14;UBB;PSME3;PTK2B;PSME2;UBE3A;UCHL5
platelet aggregation (GO:0070527),12/36,0.07921549,0.789463456,0,0,1.774322169,4.498941873,RAP2B;ACTN1;FLNA;MYH9;PIK3CB;TLN1;MYL9;PPIA;ACTB;MYL12A;METAP1;ACTG1
regulation of protein import into nucleus (GO:0042306),12/36,0.07921549,0.789463456,0,0,1.774322169,4.498941873,UFM1;HDAC3;TRIM28;JUP;CDH1;TPR;UBR5;CHP1;FLNA;ECT2;RAN;IPO5
negative regulation of protein modification by small protein conjugation or removal (GO:1903321),17/55,0.079588388,0.789463456,0,0,1.587933394,4.018880097,IVNS1ABP;RPL5;RPL11;ARRB1;PARK7;GTPBP4;SMAD7;GNL3L;BAG2;SVBP;RPS3;CHP1;SPOPL;CTNNB1;SPRY2;SOX4;COPS9
3'-UTR-mediated mRNA stabilization (GO:0070935),18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,ZFP36;HNRNPC;MAPK14;TARDBP;ELAVL1;YBX3;HNRNPA0
establishment of vesicle localization (GO:0051650),18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,CCDC186;SNAPIN;SYT11;LIMK2;KIF5B;RAB27A;RAB11A
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)",18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,RBM3;DAZAP1;THRAP3;NCL;TRA2B;CELF4;PRDX6
regulation of chromosome segregation (GO:0051983),18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,CSNK2A1;CSNK2A2;SMC6;MKI67;BUB1;RAD18;PUM2
regulation of protein sumoylation (GO:0033233),18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,GNL3L;CTNNB1;UBA2;PARK7;SAE1;GNL3;PIAS1
regulation of transcription by RNA polymerase I (GO:0006356),18-Jul,0.079871,0.789463456,0,0,2.257541275,5.705579892,HEATR1;WDR75;FLNA;LYAR;WDR43;POLR2K;POLR2L
regulation of glycolytic process (GO:0006110),21/71,0.083998478,0.828606503,0,0,1.491,3.693142285,NDC1;RANBP2;APP;SEC13;NUP205;POM121;NUP107;PFKFB3;SEH1L;PGAM1;NUP153;HIF1A;NUP160;EIF6;NUP85;TPR;EP300;NUP43;RAE1;GIT1;NUP37
post-translational protein modification (GO:0043687),87/345,0.084197846,0.828921936,0,0,1.199148796,2.967396749,APP;MIA3;HIF3A;PSMD8;PSMD6;LGALS1;PSMD7;PSMD4;PSMD2;PSMD1;UBXN7;ELOB;ELOC;SKP2;RAB2A;ESCO1;CISH;FBXW8;FBXW7;IGFBP4;APLP2;IGFBP3;COMMD1;UCHL3;RABGGTB;PDIA6;RBX1;DDB1;PSMA5;PSMA6;PTP4A2;PSMA3;PSMA4;PSMA1;PSMA2;PSME3;PSME4;PSME2;MATN3;CUL9;PSMD12;PSMD11;PSMD14;CUL3;DCUN1D1;CUL1;COPS7A;NEDD8;KLHL13;HIF1A;FSTL1;PSMA7;PSMB10;HSP90B1;PSMB6;PSMB7;PSMB4;PSMB5;CAND1;PSMB2;PSMB3;PSMB1;GPC3;FEM1C;NAE1;RBBP7;UBE2F;FEM1B;FBXL19;LAMB1;RAB11A;KTN1;PSMB9;KLHL9;COPS4;COPS3;COPS6;PSMC6;PSMC3;PSMC4;PSMC1;COPS2;PSMC2;UBA3;STT3B;P4HB;CUL4B
actin filament organization (GO:0007015),41/152,0.085092068,0.834091859,0,0,1.312108439,3.233063349,PLA2G1B;RHOBTB3;WASL;PPP1R9A;ARHGAP12;CORO1C;SPTA1;CDC42;EFS;MPRIP;FLNA;RAC1;CGNL1;CARMIL1;MARCKSL1;GSN;TPM4;ACTN1;TMOD3;TPM2;TMOD2;TPM1;SHROOM2;DSTN;MYO5A;ARPC4;RHOC;RHOA;SHROOM4;CD2AP;ENAH;ACTA1;MARCKS;MYO1C;ABI2;FAT1;SPIRE1;ARHGEF2;ALDOA;DBN1;BCAR1
negative regulation of mRNA catabolic process (GO:1902373),29-Oct,0.085396723,0.834091859,0,0,1.86745616,4.594777936,LARP1;THRAP3;NOCT;DND1;MEIOC;HNRNPU;YBX1;PABPC1;ELAVL1;PAIP1
positive regulation of dephosphorylation (GO:0035306),29-Oct,0.085396723,0.834091859,0,0,1.86745616,4.594777936,PTPA;PTBP1;ANKLE2;PPP1R7;CAMTA1;PPP2R5A;CALM3;CALM1;CALM2;PPIA
regulation of ubiquitin-protein transferase activity (GO:0051438),29-Oct,0.085396723,0.834091859,0,0,1.86745616,4.594777936,ARRDC4;DCUN1D5;FBXW7;FEM1B;ARRDC3;DCUN1D1;UBE2N;PARK7;UBE2L3;SMAD7
homotypic cell-cell adhesion (GO:0034109),14/44,0.085908881,0.835797203,0,0,1.656150748,4.064969136,ACTN1;PIK3CB;ACTB;MYL12A;ACTG1;RAP2B;FLNA;MYH9;TLN1;MYL9;PPIA;DSC2;METAP1;TJP2
intracellular protein transmembrane transport (GO:0065002),14/44,0.085908881,0.835797203,0,0,1.656150748,4.064969136,HSPA5;PAM16;TIMM23;PEX2;TIMM21;DNAJC15;HSPD1;SEC61A1;GRPEL1;SEC61G;TIMM17A;ROMO1;SEC61B;SEC62
cellular response to ionizing radiation (GO:0071479),15/48,0.088324593,0.85593617,0,0,1.613190731,3.914789147,YAP1;XRCC6;KDM1A;GADD45A;NUCKS1;MAPK14;EEF1D;SWI5;MAP3K20;TLK2;RAD1;RPL26;ECT2;CRYAB;RHNO1
regulation of protein metabolic process (GO:0051246),15/48,0.088324593,0.85593617,0,0,1.613190731,3.914789147,APP;MTPN;HSP90AB1;ROCK2;FAF1;ODC1;LTBP4;PLAUR;NEDD8;PARL;FKBP1A;MAPK8;SPOP;SPOPL;TMEM9
positive regulation of peptidase activity (GO:0010952),22-Aug,0.090144437,0.869875619,0,0,2.027251146,4.878259647,RCN3;PRELID1;VCP;CLDN4;CLDN3;PSME3;PSME2;MAPK12
positive regulation of translational initiation (GO:0045948),22-Aug,0.090144437,0.869875619,0,0,2.027251146,4.878259647,KHDRBS1;CDC123;YTHDF1;DDX3X;YTHDF2;LARP1;RPS6KB1;POLR2G
Arp2/3 complex-mediated actin nucleation (GO:0034314),15-Jun,0.090465659,0.869875619,0,0,2.364808495,5.68212628,ACTR3;ACTR2;ARPC2;ARPC5L;ARPC4;ARPC5
"positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)",15-Jun,0.090465659,0.869875619,0,0,2.364808495,5.68212628,SPRED2;DDX5;SPRED1;PMAIP1;RPL26;EEF1E1
centromere complex assembly (GO:0034508),12/37,0.09471268,0.908729349,0,0,1.703239918,4.014378749,HELLS;CENPE;NPM1;CENPW;NASP;POGZ;RUVBL1;CENPK;RBBP7;KNL1;CENPA;CENPS
positive regulation of cellular component biogenesis (GO:0044089),26/92,0.094935485,0.908729349,0,0,1.398642424,3.293184326,VCP;TSG101;TFRC;FAF1;VPS4B;PARK7;CLU;BCL2L11;SUMO1;TPR;FLOT1;RACK1;RPS3;SH3GLB1;PDCD6IP;NRG1;RHOC;CLDN3;GNL3L;ERCC1;CHMP2A;BAX;SDC1;PFN1;AJUBA;CRB3
actomyosin structure organization (GO:0031032),22/76,0.095240414,0.908729349,0,0,1.44625443,3.400651664,ITGB1;WDR1;ROCK1;ROCK2;TMOD3;CUL3;TMOD2;TPM1;ARRB1;TNFAIP1;F11R;RHOA;TJP1;KRT19;CSRP2;SIX4;PDCD10;EPB41L2;MYO18A;ZYX;MYH9;MYH10
regulation of epithelial to mesenchymal transition (GO:0010717),22/76,0.095240414,0.908729349,0,0,1.44625443,3.400651664,TGFB2;HPN;PTEN;ADIPOR1;LOXL2;SMAD7;PPP2CA;SPRED2;SPRED1;DAB2;SFRP2;SDHAF2;GLIPR2;MDK;MCRIP1;PDPN;DAG1;CTNNB1;SPRY2;SPRY1;FERMT2;EZH2
negative regulation of gene expression (GO:0010629),81/322,0.096804022,0.921872143,0,0,1.194865145,2.790089861,TRIM71;APP;DDX3X;PPP1R11;CELF1;EIF4A3;PARK7;YBX1;SYNCRIP;PTBP1;TRIM6;ZFP36;ENC1;RACK1;DNMT3B;FLOT2;JARID2;METTL16;RPS13;HELLS;DAPK1;FBXW7;SFMBT2;DNMT3A;RPL13A;SOX11;DICER1;MIF;PPHLN1;NUDT16L1;PUS7;FOXP1;TWSG1;ILF3;CLDN3;SFRP2;MYCN;PTRH2;NCL;MYADM;TMBIM6;EIF4E2;GAPDH;YAP1;GRB7;DDX6;ROCK2;PDGFB;HIF1A;MRPL13;GIGYF2;FXR1;RIDA;LARP1;PDCD10;NOCT;RPS3;IGF2BP1;RBBP7;PAIP2;TGFB2;YTHDF2;TIPARP;LSM5;NFKB1;DHFR;RPS26;REST;CNOT7;LIN28A;SYT11;ID2;CAPRIN1;AGO2;CALR;TARDBP;MPHOSPH8;CNOT9;LGR4;EZH2;BMPR1A
clathrin-dependent endocytosis (GO:0072583),26-Sep,0.097936472,0.930866428,0,0,1.878254581,4.364004791,ITSN2;INPP5F;CLTC;CANX;AP2B1;SIGLEC1;FNBP1L;AP2A2;AP2M1
cell cycle checkpoint signaling (GO:0000075),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,ZWILCH;NABP2;BUB1B;NABP1;BUB1
Golgi localization (GO:0051645),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,CDC42;ARHGAP21;PDCD10;YWHAZ;ARCN1
morphogenesis of a polarized epithelium (GO:0001738),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,RAB10;AHI1;LAMA5;ACTB;ACTG1
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,FKBP1A;CALM3;SRI;CALM1;CALM2
negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,FKBP1A;CALM3;SRI;CALM1;CALM2
P-body assembly (GO:0033962),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,DDX6;ATXN2;RC3H1;LIMD1;LSM3
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,SEC61A1;HSPA5;SEC61G;SEC61B;SEC62
protein localization to condensed chromosome (GO:1903083),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,IK;ZWILCH;CDK1;BUB3;KNL1
regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,CAMK2D;CALM3;SRI;CALM1;CALM2
regulation of oxidative stress-induced cell death (GO:1903201),12-May,0.102152597,0.952654725,0,0,2.533471988,5.77957807,REST;STK26;UBQLN1;P4HB;PARK7
NLS-bearing protein import into nucleus (GO:0006607),19-Jul,0.103363215,0.952670479,0,0,2.069280079,4.696243835,RANBP2;KPNA6;KPNA4;KPNA3;KPNB1;IPO5;KPNA1
pore complex assembly (GO:0046931),19-Jul,0.103363215,0.952670479,0,0,2.069280079,4.696243835,NDC1;AFDN;AHCTF1;NUP205;NUP107;TPR;NUP153
protein import into mitochondrial matrix (GO:0030150),19-Jul,0.103363215,0.952670479,0,0,2.069280079,4.696243835,GRPEL1;PAM16;TIMM17A;TIMM23;ROMO1;TIMM21;DNAJC15
regulation of autophagy of mitochondrion (GO:1903146),19-Jul,0.103363215,0.952670479,0,0,2.069280079,4.696243835,GSK3A;HAX1;FBXW7;CSNK2A2;VDAC1;PARK7;DNM1L
protein modification by small protein conjugation (GO:0032446),101/409,0.103786952,0.952670479,0,0,1.166106161,2.641714411,NUP107;UBE2D3;UBE2L3;TRIM28;CDC27;CDK5RAP3;ARRDC4;USP7;FBXW8;FBXW7;ARRDC1;UBE2E1;PIAS1;RBX1;CDC34;KCTD10;CUL9;NUP205;POM121;VCP;SEH1L;DCUN1D5;UBA6;CUL3;MYCBP2;CUL1;DCUN1D1;WDR61;RTF1;KLHL13;UBE2J2;HIF1A;NUP160;UBB;NUP85;TPR;HLTF;UBC;NAE1;UBE2F;UBE2I;UBE2B;NUP153;UBE2A;BSPRY;UVSSA;MKRN1;UBA3;UBE2N;UBA2;UBA1;SAE1;UBE2K;RAD18;RNF187;RNF14;ARRB1;HIF3A;TNFAIP1;CDC73;TRIM6;SUMO1;SUMO3;SUMO2;ENC1;RACK1;ELOB;ELOC;NDC1;PEX2;COMMD1;RANGAP1;UCHL3;DDB1;UBE2R2;NFX1;BIRC6;PCNA;RNF38;NEDD8;PCNP;CAND1;LEO1;NUP43;RPS27A;RAE1;TRIM44;RANBP2;USP9X;HUWE1;WWP1;UBE2G1;MIB1;KLHL9;UFM1;KLHL7;NEDD4;RLIM;TRIM33;CUL4B;NUP37
Golgi to plasma membrane protein transport (GO:0043001),30-Oct,0.103885715,0.952670479,0,0,1.773969483,4.017089823,RAB10;GOLGA4;GOLPH3;KRT18;RAB31;SEC16A;KIF13A;GOLGA7;SPTBN1;OPTN
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",30-Oct,0.103885715,0.952670479,0,0,1.773969483,4.017089823,RPS14;UTP6;RPS16;RPS8;BMS1;HEATR1;TSR1;NOL10;RPS21;NOP9
regulation of protein localization to membrane (GO:1905475),30-Oct,0.103885715,0.952670479,0,0,1.773969483,4.017089823,MMP14;GSN;GPC1;STX7;GPC3;CRIPT;GPC4;ACTB;SPTBN1;VTI1B
RNA-dependent DNA biosynthetic process (GO:0006278),30-Oct,0.103885715,0.952670479,0,0,1.773969483,4.017089823,ANKRD28;HSP90AA1;HSP90AB1;RFC1;PTGES3;RPA1;NHP2;PPIA;NOP10;TELO2
protein import (GO:0017038),25/89,0.10581567,0.968575231,0,0,1.386736603,3.114688978,IPO13;POM121;NUP107;CSE1L;HIKESHI;CLU;PHB2;IPO5;TOMM22;IPO9;NUP85;TPR;TNPO1;ATAD1;FIS1;HSP90AA1;SEC13;PEX19;HSPA4;NUTF2;PEX2;NUP153;NUP62CL;KPNB1;RAN
positive regulation of protein modification by small protein conjugation or removal (GO:1903322),22/77,0.106773204,0.972520896,0,0,1.41986755,3.176312267,GSK3A;HDAC3;DCUN1D5;FBXW7;CUL3;MYCBP2;DCUN1D1;HUWE1;UBE3A;COMMD1;UBE2L3;GNL3;PIAS1;SMAD7;FKBP1A;UBB;TBC1D7;UBQLN1;UBA2;SAE1;CDK5RAP3;CENPS
positive regulation of type I interferon production (GO:0032481),22/77,0.106773204,0.972520896,0,0,1.41986755,3.176312267,HSP90AA1;XRCC6;DDX3X;CHUK;DDX58;DHX9;RIOK3;NFKB1;HSPD1;POLR1C;G3BP1;FLOT1;EP300;POLR2F;CTNNB1;POLR3G;LRRFIP1;POLR2H;GAPDH;POLR3K;POLR2K;POLR2L
endoplasmic reticulum organization (GO:0007029),21/73,0.106835898,0.972520896,0,0,1.433469442,3.205898908,APP;CYB5A;PRNP;TRAM1;SEC16A;ATL2;MIA3;MOSPD3;UBE2J2;RAB10;SEC61A1;SERP1;REEP5;VAPA;SEC61G;BNIP1;RAB18;SEC61B;DNM1L;EMD;SEC31A
modification-dependent protein catabolic process (GO:0019941),52/201,0.108126083,0.982459382,0,0,1.239812902,2.757910856,PPP1R11;RNF14;BUB1B;ARRB1;UBE3B;UBE2L3;CDC20;CDC26;CDC27;ELOC;ARRDC1;UBE2E1;RC3H1;UBE4B;RBX1;DDB1;CDC34;RNF128;UBE2R2;KCTD10;BIRC6;PCYOX1;PSMD11;PSMD14;UBA6;CUL3;UBR4;NEDD8;UBB;UBC;UBQLN1;FEM1C;RBBP6;BUB3;RPS27A;UBQLN4;XBP1;UBE2I;UBE2B;UBE2G1;UBE2A;NTAN1;MIB1;COPS3;NEDD4;PSMC2;PCYOX1L;RLIM;TRIP12;UBA1;UBE2K;MAD2L1
positive regulation of protein dephosphorylation (GO:0035307),11/34,0.108439652,0.983503947,0,0,1.696900069,3.769767807,PTPA;PTBP1;ANKLE2;HSP90AB1;PPP1R7;CAMTA1;PPP2R5A;CALM3;CALM1;CALM2;PPIA
cytoskeleton-dependent intracellular transport (GO:0030705),23-Aug,0.112677201,0.999996398,0,0,1.891979665,4.130623315,DYNC1I2;TUBA1B;CCDC186;TUBA1A;HOOK1;KIF5B;KIF1B;KIF1A
nucleotide metabolic process (GO:0009117),23-Aug,0.112677201,0.999996398,0,0,1.891979665,4.130623315,PNP;GUK1;NME2;CTPS2;PARK7;ENPP3;NUDT5;REXO2
regulation of protein export from nucleus (GO:0046825),23-Aug,0.112677201,0.999996398,0,0,1.891979665,4.130623315,YWHAE;XPO4;TPR;PARK7;ANP32B;RANGAP1;PTPN14;EMD
chromosome organization (GO:0051276),29/106,0.113546669,0.999996398,0,0,1.337133589,2.908989405,TOP2A;HDAC3;SATB1;SETD7;EHMT1;CDCA8;NUCKS1;COPS7A;UBB;MYC;UBC;GATAD1;HMGN2;RPS27A;RAE1;HMGN1;CENPW;PARP1;LRWD1;RAD23B;RBX1;SMARCA4;COPS4;DDB1;COPS3;COPS6;COPS2;EZH2;CUL4B
protein localization to nucleus (GO:0034504),29/106,0.113546669,0.999996398,0,0,1.337133589,2.908989405,IPO13;YWHAE;POM121;NUP107;CSE1L;RPL11;HNRNPU;ARL2;NOL8;HIKESHI;RPF2;PHB2;IPO5;TBRG1;IPO9;SIX4;NUP85;TPR;LMNA;TNPO1;GBP2;SEC13;NUP153;NUTF2;PML;CALR;NUP62CL;KPNB1;RAN
antigen receptor-mediated signaling pathway (GO:0050851),48/185,0.114256519,0.999996398,0,0,1.244507941,2.699722511,KHDRBS1;PSMD12;PSMD11;PSMD14;CUL1;PIK3CB;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PAK1;PSMB4;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMD2;PSMB1;PSMD1;EIF2B1;PAK2;CD276;EIF2B3;CHUK;PLEKHA1;RC3H1;NFKB1;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC6;PSMA1;PSMC3;WNK1;PSMA2;PSMC4;PSME3;PSMC1;PSME4;PSMC2;UBE2N;PSME2;BCAR1
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),48/185,0.114256519,0.999996398,0,0,1.244507941,2.699722511,COPB2;ARF4;DYNC1I2;TMED10;SAR1A;PDCD6;COPB1;CUL3;GOSR2;ATL2;DCTN3;USO1;MIA3;IER3IP1;SPTA1;NRBP2;CAPZB;TMED3;TMED2;SPTAN1;YKT6;SPTBN1;SEC31A;VTI1B;RAB2A;SEC13;TMED9;COG7;TRAPPC1;SEC16A;TRAPPC4;ANK2;DYNLL1;COPZ1;ARCN1;TRAPPC6A;CNIH1;VAPA;CAPZA1;CAPZA2;GOPC;ERGIC3;ERGIC2;ACTR10;FOLR1;SEC24C;CNIH4;ERGIC1
actin-mediated cell contraction (GO:0070252),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,CAMK2D;GSN;PDPN;PARVA
astral microtubule organization (GO:0030953),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,LIMK2;EZR;KPNB1;RAB11A
ATF6-mediated unfolded protein response (GO:0036500),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,XBP1;HSPA5;CALR;HSP90B1
axon regeneration (GO:0031103),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,DHFR;GAP43;NREP;FOLR1
exonucleolytic trimming involved in rRNA processing (GO:0000459),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,EXOSC7;EXOSC8;EXOSC3;EXOSC2
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000467)",09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,EXOSC7;EXOSC8;EXOSC3;EXOSC2
kinetochore assembly (GO:0051382),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,CENPE;CENPW;POGZ;CENPA
mitochondrial fragmentation involved in apoptotic process (GO:0043653),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,FIS1;BNIP3;BAX;DNM1L
positive regulation of autophagy of mitochondrion (GO:1903599),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,VDAC1;PARK7;SLC25A5;SLC25A4
positive regulation of DNA-directed DNA polymerase activity (GO:1900264),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,PCNA;RFC4;POLG2;RFC2
positive regulation of ligase activity (GO:0051351),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,AIMP2;MID1IP1;TMSB4X;GCLM
regulation of DNA-directed DNA polymerase activity (GO:1900262),09-Apr,0.114389186,0.999996398,0,0,2.837207187,6.151487177,PCNA;RFC4;POLG2;RFC2
ATP-dependent chromatin remodeling (GO:0043044),13/42,0.114552803,0.999996398,0,0,1.59062333,3.44643443,MBD3;SMARCE1;PBRM1;SMARCC1;CHD4;ARID1A;SMARCA1;ACTB;SMARCA4;CECR2;NASP;ANP32E;HNRNPC
nucleic acid-templated transcription (GO:0097659),13/42,0.114552803,0.999996398,0,0,1.59062333,3.44643443,MLF1;FUBP3;POLR2B;DRG1;POLR2F;POLR2G;RNPS1;POLR2H;POLR2I;POLR2J;PTMA;POLR2K;POLR2L
regulation of apoptotic process (GO:0042981),177/742,0.116822948,0.999996398,0,0,1.115001508,2.394015006,ANKRD13C;MTCH1;ANKLE2;MTCH2;TFRC;ZFAND6;PDCD5;PARK7;PHB2;CLU;IGF1R;HMGN5;SLK;LGALS1;FAM162A;MYC;ARHGDIA;CFL1;RPS6KA1;PIM3;SKP2;PHLDA1;SOX4;MED1;BNIP3L;PRKCI;DAPK1;IGFBP3;ACTN1;RPS6;ACTN4;MIF;CLIP3;MELK;SFRP2;YME1L1;PHIP;VDAC1;PPIA;RNF122;PPID;VCP;SHC1;GLO1;HPN;PHB;HIGD1A;STK4;FOXO1;MTDH;HSP90B1;PRDX2;PRDX5;BCL2L11;UBB;PDCD10;UBC;MAP3K20;PMAIP1;NAE1;ECT2;MCL1;HSPA9;PLK3;JUN;PRELID1;XBP1;HSPA5;API5;GADD45A;BRAF;DHCR24;PA2G4;MT3;NFKB1;IL2;GADD45G;MLLT11;SETX;AHI1;DAB2;GCLC;HNRNPK;SON;STK26;WNK3;CDK1;ANP32E;RNPS1;ANP32B;CALR;TDGF1;BCL2L1;ITGB1;TOP2A;ARF4;RARG;TNFAIP8;DDX3X;FAF1;SRA1;HMGB1;IER3IP1;SIX4;C1QBP;RACK1;MYO18A;DNM1L;HSP90AA1;PLEKHG2;PRMT2;TNFRSF12A;UTP11;ARHGEF16;NME2;PLAUR;RABGGTB;DUSP9;YWHAZ;DUSP6;NME1;HAX1;LATS2;TAX1BP1;BIRC5;BIRC6;ITGA6;TMBIM6;ARHGEF2;SOS1;EEF1E1;CRYAB;PTMA;ARHGEF5;HDAC3;RPL10;TAF9;LRP2;FSTL1;THBS1;HSPD1;PTPA;BCLAF1;MAPK8;MIEN1;PERP;PDPN;RPS3;BNIP1;FLNA;SAP18;PTK2B;RPS27A;PAK2;EGLN3;NPM1;BNIP3;RRP1B;CFLAR;PNMA2;HYPK;TJP1;RSL1D1;GOLPH3;REST;UFM1;KRT18;RPS6KB1;CTNNB1;BAX;SPRY2;NAA16;NAA15;TARDBP;BCAR1;TPT1;MAD2L1
positive regulation of cell morphogenesis involved in differentiation (GO:0010770),15/50,0.117944749,0.999996398,0,0,1.520812976,3.250797041,CARMIL1;FBXW8;CDC42;MDK;C1QBP;CAPRIN1;MYADM;FLNA;RAC1;CALR;P4HB;CRK;FERMT2;S100A10;LIMS1
"regulation of gene expression, epigenetic (GO:0040029)",23/82,0.118587993,0.999996398,0,0,1.383729123,2.950248919,DNMT3A;GLMN;IGF2;DDX21;PPHLN1;DEK;ACTB;DNMT3L;TAF1D;MYO1C;TDG;POLR1C;DNMT3B;EP300;POLR2F;POLR2H;RBBP7;JARID2;SF3B1;MPHOSPH8;POLR2K;POLR2L;EZH2
3'-UTR-mediated mRNA destabilization (GO:0061158),16-Jun,0.118859389,0.999996398,0,0,2.128191126,4.532651449,TRIM71;ZFP36;DND1;RC3H1;TARDBP;ZFP36L1
cellular response to corticosteroid stimulus (GO:0071384),16-Jun,0.118859389,0.999996398,0,0,2.128191126,4.532651449,REST;ZFP36;BCL2L11;HNRNPU;UBE2L3;ZFP36L1
regulation of rRNA processing (GO:2000232),16-Jun,0.118859389,0.999996398,0,0,2.128191126,4.532651449,TRMT112;YTHDF2;HEATR1;WDR75;BUD23;WDR43
