Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
bleb assembly (GO:0032060),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PMP22
regulation of cGMP-mediated signaling (GO:0010752),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,THBS1
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PKP2
Cdc42 protein signal transduction (GO:0032488),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,CDC42
regulation of defense response to bacterium (GO:1900424),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,FOXP1
regulation of lens fiber cell differentiation (GO:1902746),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,SPRED1
regulation of lysosomal protein catabolic process (GO:1905165),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,LRP2
coronary vasculature development (GO:0060976),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,GPC3
desmosome organization (GO:0002934),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PKP2
endothelial cell morphogenesis (GO:0001886),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,COL18A1
gap junction assembly (GO:0016264),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,GJA1
regulation of transforming growth factor beta1 production (GO:0032908),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,THBS1
regulation of tubulin deacetylation (GO:0090043),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,BEX4
glutamine transport (GO:0006868),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,SLC38A2
glyceraldehyde-3-phosphate metabolic process (GO:0019682),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,TPI1
ribose phosphate biosynthetic process (GO:0046390),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PRPS2
intermediate filament bundle assembly (GO:0045110),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PKP2
serine transport (GO:0032329),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,SLC38A2
smooth muscle cell migration (GO:0014909),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,PARVA
T cell apoptotic process (GO:0070231),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,GLI3
miRNA catabolic process (GO:0010587),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,LIN28A
mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,CALM1
negative regulation of axon regeneration (GO:0048681),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,INPP5F
negative regulation of intracellular transport (GO:0032387),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,CRYAB
negative regulation of lymphocyte differentiation (GO:0045620),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,ID2
neuron projection arborization (GO:0140058),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,LRP2
nose development (GO:0043584),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,GLI3
nucleobase catabolic process (GO:0046113),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,DPYSL2
positive regulation of B cell receptor signaling pathway (GO:0050861),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,FOXP1
positive regulation of gliogenesis (GO:0014015),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,LRP2
positive regulation of integrin-mediated signaling pathway (GO:2001046),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,FLNA
positive regulation of pinocytosis (GO:0048549),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,CDC42
positive regulation of vesicle fusion (GO:0031340),07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,ANXA2
"posttranslational protein targeting to membrane, translocation (GO:0031204)",07-Jan,0.067614655,0.272130669,0,0,16.66245791,44.88750406,HSPA5
cellular response to glucose starvation (GO:0042149),2/43,0.068192368,0.272130669,0,0,4.892905782,13.13951987,IMPACT;HSPA5
development of primary male sexual characteristics (GO:0046546),2/43,0.068192368,0.272130669,0,0,4.892905782,13.13951987,LRP2;UTF1
male gonad development (GO:0008584),2/43,0.068192368,0.272130669,0,0,4.892905782,13.13951987,LRP2;UTF1
myofibril assembly (GO:0030239),2/43,0.068192368,0.272130669,0,0,4.892905782,13.13951987,KRT19;TPM1
positive regulation of peptide hormone secretion (GO:0090277),2/43,0.068192368,0.272130669,0,0,4.892905782,13.13951987,GLUD1;ACSL4
cardiac ventricle morphogenesis (GO:0003208),2/44,0.070986099,0.275851122,0,0,4.776166304,12.6342552,TPM1;PKP2
mitotic spindle assembly (GO:0090307),2/44,0.070986099,0.275851122,0,0,4.776166304,12.6342552,STAG2;FLNA
mRNA stabilization (GO:0048255),2/44,0.070986099,0.275851122,0,0,4.776166304,12.6342552,LARP1;NOCT
positive regulation of receptor-mediated endocytosis (GO:0048260),2/44,0.070986099,0.275851122,0,0,4.776166304,12.6342552,ANXA2;CLU
amino acid transmembrane transport (GO:0003333),2/45,0.07381658,0.275851122,0,0,4.664856569,12.15741814,SLC7A7;SLC38A2
zymogen activation (GO:0031638),2/45,0.07381658,0.275851122,0,0,4.664856569,12.15741814,PERP;PGK1
positive regulation of RNA metabolic process (GO:0051254),2/45,0.07381658,0.275851122,0,0,4.664856569,12.15741814,LIN28A;SLC38A2
protein transport (GO:0015031),7/369,0.076441331,0.275851122,0,0,1.957772215,5.033886072,RAB31;ARL5C;TXNIP;MYH9;LRP2;CLU;HSP90B1
alpha-amino acid metabolic process (GO:1901605),2/46,0.076682813,0.275851122,0,0,4.558606368,11.70685527,GLUD1;GLS
regulation of fibroblast proliferation (GO:0048145),2/46,0.076682813,0.275851122,0,0,4.558606368,11.70685527,PLA2G1B;S100A6
pyrimidine nucleobase catabolic process (GO:0006208),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,DPYSL2
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PDK1
regulation of acyl-CoA biosynthetic process (GO:0050812),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PDK1
regulation of alpha-beta T cell differentiation (GO:0046637),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,GLI3
atrial cardiac muscle cell to AV node cell signaling (GO:0086026),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,GJA1
basic amino acid transport (GO:0015802),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,SLC7A7
cardiac muscle hypertrophy (GO:0003300),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,INPP5F
regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,CALM1
regulation of myeloid leukocyte differentiation (GO:0002761),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,FOXP1
regulation of positive chemotaxis (GO:0050926),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,F3
entry of bacterium into host cell (GO:0035635),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,CTNND1
regulation of RNA biosynthetic process (GO:2001141),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ACTN4
folic acid transport (GO:0015884),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PDPN
fructose metabolic process (GO:0006000),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ALDOA
sequestering of BMP from receptor via BMP binding (GO:0038098),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,FSTL1
skeletal myofibril assembly (GO:0014866),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ACTA1
lens fiber cell development (GO:0070307),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ABI2
lymphatic endothelial cell differentiation (GO:0060836),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PDPN
mammary gland epithelial cell differentiation (GO:0060644),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ID2
TORC1 signaling (GO:0038202),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,LARP1
vascular associated smooth muscle contraction (GO:0014829),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ACTA2
myeloid leukocyte mediated immunity (GO:0002444),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PLA2G1B
negative regulation of actin nucleation (GO:0051126),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,GMFB
negative regulation of alpha-beta T cell differentiation (GO:0046639),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,GLI3
negative regulation of B cell apoptotic process (GO:0002903),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,FOXP1
negative regulation of mitochondrial fusion (GO:0010637),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,BNIP3
negative regulation of muscle cell differentiation (GO:0051148),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ID2
negative regulation of neuron projection regeneration (GO:0070571),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,INPP5F
negative regulation of sodium ion transport (GO:0010766),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,NEDD4
positive regulation of Arp2/3 complex-mediated actin nucleation (GO:2000601),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ABI2
positive regulation of astrocyte differentiation (GO:0048711),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ID2
positive regulation of extracellular matrix disassembly (GO:0090091),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,PDPN
positive regulation of fibroblast migration (GO:0010763),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,THBS1
positive regulation of leukocyte differentiation (GO:1902107),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,LGALS1
positive regulation of membrane invagination (GO:1905155),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,RAB31
positive regulation of muscle contraction (GO:0045933),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,ENO1
positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,CALM1
progesterone receptor signaling pathway (GO:0050847),08-Jan,0.076895119,0.275851122,0,0,14.28138528,36.63622152,NEDD4
positive regulation of protein kinase B signaling (GO:0051897),4/161,0.07733199,0.276835529,0,0,2.566585007,6.569553056,LIN28A;LRP2;F3;THBS1
organic acid transport (GO:0015849),3/100,0.077996113,0.278196901,0,0,3.109194193,7.931853765,SLC7A7;PDPN;SLC38A2
positive regulation of cell-cell adhesion (GO:0022409),2/47,0.079583813,0.278196901,0,0,4.457078398,11.28061834,AFDN;PLAUR
epithelial cell differentiation (GO:0030855),3/101,0.07982136,0.278196901,0,0,3.077311537,7.77933322,TAGLN;PGK1;FSTL1
heart development (GO:0007507),4/164,0.081484101,0.278196901,0,0,2.518076923,6.313693514,ID2;PKP2;GPC3;PDLIM7
intrinsic apoptotic signaling pathway (GO:0097193),3/102,0.081665139,0.278196901,0,0,3.046072975,7.630802882,BNIP3;SFN;PDK1
positive regulation of cellular protein metabolic process (GO:0032270),3/102,0.081665139,0.278196901,0,0,3.046072975,7.630802882,PERP;THBS1;CLN6
positive regulation of vasculature development (GO:1904018),3/102,0.081665139,0.278196901,0,0,3.046072975,7.630802882,ANXA3;F3;THBS1
regulation of protein metabolic process (GO:0051246),2/48,0.082518614,0.278196901,0,0,4.359964688,10.87694077,ODC1;PLAUR
Golgi to plasma membrane transport (GO:0006893),2/48,0.082518614,0.278196901,0,0,4.359964688,10.87694077,RAB31;STEAP2
substrate adhesion-dependent cell spreading (GO:0034446),2/48,0.082518614,0.278196901,0,0,4.359964688,10.87694077,LAMB1;PARVA
myelination (GO:0042552),2/48,0.082518614,0.278196901,0,0,4.359964688,10.87694077,PMP22;MAL2
positive regulation of blood vessel endothelial cell migration (GO:0043536),2/48,0.082518614,0.278196901,0,0,4.359964688,10.87694077,TMSB4X;THBS1
regulation of insulin secretion (GO:0050796),3/104,0.085407567,0.278196901,0,0,2.985451606,7.345168021,GLUD1;SLC2A1;ACSL4
receptor internalization (GO:0031623),2/49,0.085486263,0.278196901,0,0,4.266983476,10.49421737,RAB31;NEDD4
cellular response to mechanical stimulus (GO:0071260),2/49,0.085486263,0.278196901,0,0,4.266983476,10.49421737,CNN2;BNIP3
secondary alcohol metabolic process (GO:1902652),2/49,0.085486263,0.278196901,0,0,4.266983476,10.49421737,SOAT1;CLN6
basement membrane assembly (GO:0070831),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,LAMB1
bundle of His cell to Purkinje myocyte communication (GO:0086069),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,PKP2
regulation of dendritic cell antigen processing and presentation (GO:0002604),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,THBS1
regulation of PERK-mediated unfolded protein response (GO:1903897),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,HSPA5
regulation of pinocytosis (GO:0048548),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,CDC42
embryonic digestive tract morphogenesis (GO:0048557),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ID2
regulation of protein deacetylation (GO:0090311),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,SPRED1
regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903025),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,TMSB4X
regulation of transmembrane transporter activity (GO:0022898),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ACTB
regulation of tumor necrosis factor superfamily cytokine production (GO:1903555),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,FOXP1
regulation of vesicle fusion (GO:0031338),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ANXA2
response to leptin (GO:0044321),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,LRP2
response to magnesium ion (GO:0032026),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,THBS1
response to misfolded protein (GO:0051788),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,CLU
response to UV-C (GO:0010225),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,IMPACT
sensory organ morphogenesis (GO:0090596),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,GLI3
ketone biosynthetic process (GO:0042181),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,TPI1
skeletal muscle fiber development (GO:0048741),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ACTA1
lysosomal lumen acidification (GO:0007042),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,CLN6
mitochondrial fragmentation involved in apoptotic process (GO:0043653),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,BNIP3
negative regulation of alpha-beta T cell activation (GO:0046636),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,GLI3
negative regulation of fibrinolysis (GO:0051918),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,THBS1
negative regulation of leukocyte proliferation (GO:0070664),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ENPP3
negative regulation of membrane potential (GO:0045837),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,BNIP3
negative regulation of protein activation cascade (GO:2000258),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,F3
nucleoside diphosphate catabolic process (GO:0009134),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,NUDT5
ornithine metabolic process (GO:0006591),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ODC1
plasminogen activation (GO:0031639),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,PGK1
positive regulation of blood pressure (GO:0045777),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,ID2
positive regulation of cell-cell adhesion mediated by cadherin (GO:2000049),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,AFDN
positive regulation of ligase activity (GO:0051351),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,TMSB4X
positive regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902110),09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,BNIP3
"positive regulation of phagocytosis, engulfment (GO:0060100)",09-Jan,0.086083671,0.278196901,0,0,12.49558081,30.64460639,RAB31
positive regulation of cellular metabolic process (GO:0031325),3/105,0.087305846,0.278196901,0,0,2.956032413,7.207805714,INPP5F;ANXA2;THBS1
cellular protein modification process (GO:0006464),15/1025,0.087545467,0.278196901,0,0,1.516707921,3.694089259,GMFB;FEM1B;BRAF;LAMB1;FSTL1;YWHAZ;THBS1;PTPN14;PTPRF;DUSP6;HSP90B1;LGALS1;GPC3;PDK1;CUL4B
actin polymerization or depolymerization (GO:0008154),2/50,0.088485825,0.278196901,0,0,4.177876481,10.1309866,ABI2;DSTN
positive regulation of ion transport (GO:0043270),2/50,0.088485825,0.278196901,0,0,4.177876481,10.1309866,FHL1;PKP2
cellular response to peptide hormone stimulus (GO:0071375),3/106,0.089221922,0.278196901,0,0,2.927184466,7.073917442,RAB31;PKM;PLA2G1B
protein localization to nucleus (GO:0034504),3/106,0.089221922,0.278196901,0,0,2.927184466,7.073917442,POM121;GBP2;IPO5
regulation of interleukin-12 production (GO:0032655),2/51,0.091516379,0.278196901,0,0,4.092406506,9.785915163,THBS1;FOXP1
cholesterol transport (GO:0030301),2/51,0.091516379,0.278196901,0,0,4.092406506,9.785915163,SOAT1;CLU
regulation of smoothened signaling pathway (GO:0008589),2/51,0.091516379,0.278196901,0,0,4.092406506,9.785915163,GPC3;GLI3
gonad development (GO:0008406),2/51,0.091516379,0.278196901,0,0,4.092406506,9.785915163,LRP2;UTF1
positive regulation of fat cell differentiation (GO:0045600),2/51,0.091516379,0.278196901,0,0,4.092406506,9.785915163,NOCT;ID2
neuron projection development (GO:0031175),4/171,0.091590788,0.278196901,0,0,2.41166897,5.764912776,CDC42;NEDD4;STMN2;LAMB1
adherens junction assembly (GO:0034333),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,ACTB
amino sugar metabolic process (GO:0006040),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,GFPT2
regulation of actin filament-based movement (GO:1903115),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PDPN
apical protein localization (GO:0045176),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,ACTB
arachidonate transport (GO:1903963),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PLA2G1B
arachidonic acid secretion (GO:0050482),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PLA2G1B
regulation of attachment of spindle microtubules to kinetochore (GO:0051988),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,CDC42
regulation of DNA damage checkpoint (GO:2000001),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,FEM1B
regulation of DNA methylation (GO:0044030),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,DNMT3L
regulation of endoplasmic reticulum unfolded protein response (GO:1900101),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,HSPA5
cellular response to acidic pH (GO:0071468),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,IMPACT
cellular response to leucine starvation (GO:1990253),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,IMPACT
regulation of high voltage-gated calcium channel activity (GO:1901841),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,CALM1
regulation of low-density lipoprotein particle clearance (GO:0010988),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,ANXA2
"DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)",10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,RPS6KA6
regulation of organ growth (GO:0046620),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,DUSP6
"regulation of phagocytosis, engulfment (GO:0060099)",10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,RAB31
endothelium development (GO:0003158),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,FSTL1
regulation of receptor binding (GO:1900120),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PTPRF
regulation of tau-protein kinase activity (GO:1902947),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,CLU
retinoic acid receptor signaling pathway (GO:0048384),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,ACTN4
sequestering of actin monomers (GO:0042989),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,TMSB4X
serine family amino acid catabolic process (GO:0009071),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,GLDC
iron ion transmembrane transport (GO:0034755),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,SLC40A1
L-glutamate transmembrane transport (GO:0015813),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,SLC1A3
long-chain fatty acid import into cell (GO:0044539),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,SLC2A1
monocyte activation (GO:0042117),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,FOXP1
myelin assembly (GO:0032288),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PMP22
myelin maintenance (GO:0043217),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,CLU
negative regulation of cell-cell adhesion mediated by cadherin (GO:2000048),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,EPCAM
negative regulation of cellular protein catabolic process (GO:1903363),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,ANXA2
negative regulation of hormone secretion (GO:0046888),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,GJA1
negative regulation of lymphocyte apoptotic process (GO:0070229),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,FOXP1
negative regulation of protein autophosphorylation (GO:0031953),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,IMPACT
negative regulation of receptor binding (GO:1900121),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,PTPRF
negative regulation of sodium ion transmembrane transport (GO:1902306),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,NEDD4
negative regulation of sodium ion transmembrane transporter activity (GO:2000650),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,NEDD4
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,IMPACT
negative regulation of transmembrane transport (GO:0034763),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,THBS1
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,INPP5F
negative regulation of voltage-gated calcium channel activity (GO:1901386),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,CALM1
positive regulation by symbiont of entry into host (GO:0075294),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,LGALS1
positive regulation of coagulation (GO:0050820),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,THBS1
positive regulation of epidermis development (GO:0045684),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,SFN
positive regulation of hemostasis (GO:1900048),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,THBS1
positive regulation of viral entry into host cell (GO:0046598),10-Jan,0.095181217,0.278196901,0,0,11.10662177,26.12247076,LGALS1
positive regulation of intracellular signal transduction (GO:1902533),9/546,0.096031978,0.280202894,0,0,1.699264922,3.981503527,GJA1;LGALS1;LIN28A;NEDD4;FLNA;ACTN4;LRP2;F3;THBS1
response to endoplasmic reticulum stress (GO:0034976),3/110,0.097060387,0.282719485,0,0,2.817184818,6.570863708,HSPA5;THBS1;HSP90B1
bicellular tight junction assembly (GO:0070830),2/53,0.097666851,0.283516719,0,0,3.931521847,9.145478888,CLDN6;AFDN
positive regulation of macroautophagy (GO:0016239),2/53,0.097666851,0.283516719,0,0,3.931521847,9.145478888,LARP1;BNIP3
regulation of focal adhesion assembly (GO:0051893),2/54,0.100785001,0.284321763,0,0,3.855720422,8.847975091,THBS1;S100A10
glycosaminoglycan metabolic process (GO:0030203),2/54,0.100785001,0.284321763,0,0,3.855720422,8.847975091,GPC3;CLN6
striated muscle contraction (GO:0006941),2/54,0.100785001,0.284321763,0,0,3.855720422,8.847975091,TPM1;ALDOA
regulation of macroautophagy (GO:0016241),3/112,0.101081428,0.284321763,0,0,2.765212507,6.337393865,LARP1;BNIP3;NEDD4
positive regulation of cell population proliferation (GO:0008284),8/474,0.101876831,0.284321763,0,0,1.737860369,3.969256983,GJA1;EPCAM;PLA2G1B;ID2;S100A6;LAMB1;THBS1;FOXP1
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),6/321,0.102022949,0.284321763,0,0,1.923118678,4.389628969,HSPA5;FEM1B;EDEM1;NEDD4;HSP90B1;CUL4B
regulation of blood vessel endothelial cell migration (GO:0043535),2/55,0.103930607,0.284321763,0,0,3.782779427,8.56433308,TMSB4X;THBS1
actin filament depolymerization (GO:0030042),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,DSTN
aminoglycan metabolic process (GO:0006022),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,CLN6
regulation of amyloid precursor protein biosynthetic process (GO:0042984),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,SOAT1
regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,PLAUR
regulation of endocytic recycling (GO:2001135),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,INPP5F
central nervous system myelination (GO:0022010),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,CLU
regulation of lamellipodium morphogenesis (GO:2000392),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,PDPN
copper ion transport (GO:0006825),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,STEAP2
regulation of mast cell activation involved in immune response (GO:0033006),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,ENPP3
regulation of mitochondrial fusion (GO:0010635),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,BNIP3
"DNA damage response, signal transduction resulting in transcription (GO:0042772)",11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,RPS6KA6
establishment of endothelial intestinal barrier (GO:0090557),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,AFDN
establishment of epithelial cell apical/basal polarity (GO:0045198),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,CDC42
regulation of synapse maturation (GO:0090128),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,YWHAZ
glycerol metabolic process (GO:0006071),11-Jan,0.104188652,0.284321763,0,0,9.995454545,22.60524081,TPI1
